"Title","Artist","Album","YouTubeMusicUrl","AlbumArtUrl"
"Photographs","1415","Nothing to Lose","https://music.youtube.com/search?q=1415%20Photographs","https://cdn-images.dzcdn.net/images/cover/79bbe89b18ed3b8fd6dbf27ec5f4117a/1000x1000-000000-80-0-0.jpg"
"a lot","21 Savage","i am > i was","https://music.youtube.com/search?q=21%20Savage%20a%20lot","https://cdn-images.dzcdn.net/images/cover/acea0031f593d178d5da62936433254e/1000x1000-000000-80-0-0.jpg"
"a lot","21 Savage/J. Cole","The Off-Season","https://music.youtube.com/search?q=21%20Savage%2FJ.%20Cole%20a%20lot",""
"我不需要女友","3Bangz/我爱老干妈/未来星B3Rich/狠毒男孩","我不需要女友 - Single","https://music.youtube.com/search?q=3Bangz%2F%E6%88%91%E7%88%B1%E8%80%81%E5%B9%B2%E5%A6%88%2F%E6%9C%AA%E6%9D%A5%E6%98%9FB3Rich%2F%E7%8B%A0%E6%AF%92%E7%94%B7%E5%AD%A9%20%E6%88%91%E4%B8%8D%E9%9C%80%E8%A6%81%E5%A5%B3%E5%8F%8B",""
"Why (Album Version)","3T/Michael Jackson","Too Young","https://music.youtube.com/search?q=3T%2FMichael%20Jackson%20Why%20%28Album%20Version%29",""
"Amnesia","5 Seconds of Summer","5 Seconds of Summer (Bonus Track Version)","https://music.youtube.com/search?q=5%20Seconds%20of%20Summer%20Amnesia","https://cdn-images.dzcdn.net/images/cover/02de0988cdbc1d4a221a8b5011a03a93/1000x1000-000000-80-0-0.jpg"
"She Looks So Perfect (Mikey Demo Vocal)","5 Seconds of Summer","She Looks So Perfect - EP","https://music.youtube.com/search?q=5%20Seconds%20of%20Summer%20She%20Looks%20So%20Perfect%20%28Mikey%20Demo%20Vocal%29","https://cdn-images.dzcdn.net/images/cover/6961d003a977eb33307c68499a238254/1000x1000-000000-80-0-0.jpg"
"What I Like About You","5 Seconds of Summer","LIVESOS (Bonus Track Version)","https://music.youtube.com/search?q=5%20Seconds%20of%20Summer%20What%20I%20Like%20About%20You","https://cdn-images.dzcdn.net/images/cover/d6d7cfd6875062b004a773eb6a69d064/1000x1000-000000-80-0-0.jpg"
"Youngblood","5 Seconds of Summer","Youngblood (Deluxe)","https://music.youtube.com/search?q=5%20Seconds%20of%20Summer%20Youngblood","https://cdn-images.dzcdn.net/images/cover/3bbfddbac4bcfc7e2b19fb86619d7ee5/1000x1000-000000-80-0-0.jpg"
"In Da Club","50 Cent","Radioactivo Vs Radioactivo 11° Aniversario","https://music.youtube.com/search?q=50%20Cent%20In%20Da%20Club","https://cdn-images.dzcdn.net/images/cover/8f4dd4d8abf85ceda96b6b4adf217590/1000x1000-000000-80-0-0.jpg"
"P.I.M.P.","50 Cent","Get Rich or Die Tryin' (Bonus Track Version)","https://music.youtube.com/search?q=50%20Cent%20P.I.M.P.","https://cdn-images.dzcdn.net/images/cover/8f4dd4d8abf85ceda96b6b4adf217590/1000x1000-000000-80-0-0.jpg"
"Midsummer Madness","88rising/Higher Brothers/Rich Brian/Joji/AUGUST 08","The Anticipation Mixtape, Vol. 2","https://music.youtube.com/search?q=88rising%2FHigher%20Brothers%2FRich%20Brian%2FJoji%2FAUGUST%2008%20Midsummer%20Madness","https://cdn-images.dzcdn.net/images/cover/7b18d3fcf410d159deb209f02a5ee3b0/1000x1000-000000-80-0-0.jpg"
"Indigo","88rising/NIKI","Indigo","https://music.youtube.com/search?q=88rising%2FNIKI%20Indigo","https://cdn-images.dzcdn.net/images/cover/28aeea0a18458309de3004f0bb3cda59/1000x1000-000000-80-0-0.jpg"
"History","88rising/Rich Brian","Made In The A.M.","https://music.youtube.com/search?q=88rising%2FRich%20Brian%20History","https://cdn-images.dzcdn.net/images/cover/25c620212daa2d341c0c1fd2e51658e8/1000x1000-000000-80-0-0.jpg"
"I Love You 3000 II","88rising/Stephanie Poetri/王嘉尔","Head In The Clouds II","https://music.youtube.com/search?q=88rising%2FStephanie%20Poetri%2F%E7%8E%8B%E5%98%89%E5%B0%94%20I%20Love%20You%203000%20II","https://cdn-images.dzcdn.net/images/cover/775a83d1058b5e908c2fc31518bc3446/1000x1000-000000-80-0-0.jpg"
"Aim High","9m88","Beyond Mediocrity","https://music.youtube.com/search?q=9m88%20Aim%20High","https://cdn-images.dzcdn.net/images/cover/8a1c6d93c390df5e4b6191d5f0e9ffef/1000x1000-000000-80-0-0.jpg"
"Look Back at It","A Boogie wit da Hoodie","Hoodie SZN","https://music.youtube.com/search?q=A%20Boogie%20wit%20da%20Hoodie%20Look%20Back%20at%20It","https://cdn-images.dzcdn.net/images/cover/3180743559e1b766575e8ee8a80b822f/1000x1000-000000-80-0-0.jpg"
"Almost Lover","A Fine Frenzy","One Cell In the Sea","https://music.youtube.com/search?q=A%20Fine%20Frenzy%20Almost%20Lover","https://cdn-images.dzcdn.net/images/cover/8e0e06634102fe0254bd596f9807b1cf/1000x1000-000000-80-0-0.jpg"
